gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCR3,4.4177305605591523e-26,-3.9570662039946645,0.073,0.578,1.130939023503143e-23
CCL3,5.01366849289108e-12,-4.076736434657281,0.039,0.289,1.2834991341801165e-9
CD3E,6.2697834924223615e-37,-4.12003070370677,0.204,0.933,1.6050645740601245e-34
GZMB,2.8158709782715864e-19,-4.1394574788886,0.137,0.622,7.208629704375261e-17
CCL4,1.365539428241356e-16,-4.159016102275373,0.073,0.444,3.4957809362978714e-14
GNLY,2.972102432437941e-13,-4.196513789510842,0.098,0.444,7.608582227041129e-11
DPP4,4.14474777185255e-29,-4.250961573533219,0.043,0.511,1.0610554295942528e-26
CST7,5.848063601949407e-37,-4.266265994039104,0.1,0.778,1.4971042820990483e-34
CXCR6,1.7284870813585577e-12,-4.2976805486406855,0.037,0.289,4.424926928277908e-10
TARP-refseq,2.675984173756378e-21,-4.3460987831866165,0.049,0.444,6.850519484816328e-19
NKG7,2.0148638974003406e-19,-4.353080408098136,0.204,0.711,5.158051577344872e-17
PRF1,5.602648477929108e-37,-4.444201699964516,0.076,0.711,1.4342780103498516e-34
GZMH,1.425505272115816e-18,-4.502500340529183,0.053,0.422,3.649293496616489e-16
GATA3,6.899179573093331e-10,-4.502500340529183,0.004,0.111,1.7661899707118927e-7
XCL1,1.557200894953216e-4,-4.672425341971495,0.006,0.067,0.039864342910802326
NINJ2,3.1023870946973906e-12,-4.724892761865631,0.004,0.133,7.94211096242532e-10
GZMM,3.4696800083424734e-9,-4.824428435416545,0.002,0.089,8.882380821356732e-7
TRDC,2.4354845251965276e-16,-4.871144934323576,0.043,0.356,6.234840384503111e-14
GZMA,3.111546338227955e-26,-4.8842485215977565,0.131,0.689,7.965558625863565e-24
CD244,2.1346447265414786e-15,-4.96193195916648,0.006,0.178,5.464690499946185e-13
KLRB1,1.809904235453741e-23,-5.42003818033721,0.065,0.511,4.633354842761577e-21
CCR6,5.293832461308123e-9,-5.502500340529184,0,0.067,1.3552211100948794e-6
