,ADORA2A,ADORA2B,CD4,CD8A,CD27,CD28,CD40,CD45R0,CD45RA,CD272,CD274,CD276,CTLA4,CTLA4-TM,EOMES,FAS,FASLG,FOXP3,GNLY,GZMA,GZMB,GZMH,GZMK,GZMM,HAVCR2,ICOS,IFNG,IL2RA,IL2RG,IL7R,LAG3,NOX2,PRF1,SELL,SIGLEC7,TNF,TNFRSF4,TNFRSF9,TNFRSF18,TNFSF18,VISTA,VTCN1
Non-TD + Tumor 6,0,0,6,57,34,9,0,12,15,0,9,0,1,2,3,4,2,0,9,58,6,1,2,4,1,9,5,11,7,14,0,0,24,10,0,19,5,3,4,0,2,0
Non-TD + Tumor 7,21,13,70,237,178,42,0,113,162,62,39,55,16,14,24,44,15,29,46,152,143,0,9,28,8,42,31,119,123,58,28,11,101,43,10,44,31,8,22,23,25,23
Non-TD + Tumor 8,15,0,153,198,65,147,8,108,10,7,8,5,44,29,8,25,8,21,18,171,224,12,22,9,13,94,80,48,164,63,70,2,159,20,3,131,53,15,25,0,6,1
Non-TD + Tumor 9,7,0,25,35,15,16,0,1,0,0,0,3,6,6,10,12,0,7,11,11,31,21,0,1,2,16,12,7,40,2,2,0,27,3,0,2,3,6,5,0,0,3
anti-HER2 #1 1,12,29,97,87,163,72,33,91,86,10,73,49,18,10,15,50,7,12,157,75,111,34,6,20,16,51,10,27,148,60,30,5,81,49,4,44,13,33,18,2,4,6
anti-HER2 #1 2,13,35,39,44,62,31,38,51,30,14,87,41,12,8,14,47,6,18,55,79,272,23,3,15,9,33,20,58,82,49,18,3,61,24,6,38,20,55,15,13,24,7
anti-HER2 #1 3,13,32,68,66,113,52,36,71,58,12,80,45,15,9,15,49,7,15,106,77,192,29,5,18,13,42,15,43,115,55,24,4,71,37,5,41,17,44,17,8,14,7
anti-HER2 #1 4,13,23,41,46,94,65,50,76,69,11,96,28,11,10,16,58,5,12,114,67,235,46,6,14,18,42,24,66,98,60,20,5,60,11,9,31,12,56,18,0,13,6
anti-HER2 #1 5,8,46,68,79,103,60,32,67,63,14,81,43,17,8,11,61,7,19,108,65,281,30,7,11,30,14,16,50,127,54,30,4,78,56,6,30,30,61,14,7,15,7
anti-HER2 #1 6,10,46,72,67,93,42,33,54,64,5,82,57,14,6,19,44,3,16,152,80,283,23,7,10,16,42,11,19,160,67,40,3,63,23,9,43,34,61,11,11,13,10
anti-HER2 #1 7,17,19,62,69,169,104,17,87,75,2,90,29,12,2,13,41,7,7,137,84,113,24,5,22,13,32,7,67,104,61,13,3,45,52,7,52,8,40,8,17,7,12
anti-HER2 #1 8,10,20,63,39,72,49,30,42,22,11,78,60,8,26,7,54,14,8,156,77,171,14,0,8,14,42,4,65,91,47,21,6,77,17,4,40,7,56,21,4,14,3
anti-HER2 #1 9,16,31,86,122,133,21,51,47,61,7,114,52,12,7,26,40,8,16,127,68,261,24,5,18,12,47,15,28,63,72,29,2,68,35,2,62,28,47,19,1,20,15
anti-HER2 #1 + Tumor 1,13,5,44,118,74,42,3,46,65,12,7,12,27,10,16,42,8,16,93,141,99,28,8,15,24,23,21,93,132,25,24,9,60,43,7,45,20,4,19,6,16,7
anti-HER2 #1 + Tumor 2,9,2,33,125,56,31,2,51,45,8,8,11,18,8,7,52,7,14,97,108,307,49,8,21,11,45,37,65,150,49,25,3,123,29,6,55,13,4,9,1,14,3
anti-HER2 #1 + Tumor 3,34,12,204,208,162,155,8,200,177,25,27,31,109,37,22,130,17,57,50,208,664,56,24,60,28,132,60,273,264,166,73,13,170,78,7,177,53,34,83,10,38,7
anti-HER2 #1 + Tumor 4,4,7,144,134,51,92,0,71,35,7,31,22,6,23,10,12,2,8,40,131,221,41,3,31,5,50,13,53,116,48,18,14,89,58,12,65,13,13,22,0,2,2
anti-HER2 #1 + Tumor 5,9,5,57,72,57,50,0,52,23,11,6,17,25,10,6,32,5,15,27,60,317,45,4,35,15,45,24,51,99,101,36,1,29,48,5,69,14,4,21,0,20,0
