p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.41376933985774e-107,0.542110417759235,0.783,0.671,3.61924951003582e-105,1,FYB
3.28321372095773e-117,0.528382130163147,0.772,0.603,8.40502712565179e-115,1,CD27
1.3610901510787e-125,0.526856055132829,0.792,0.673,3.48439078676147e-123,1,IL23R
4.31890135960253e-77,0.526494394014784,0.726,0.648,1.10563874805825e-74,1,STAT3
1.37593349437048e-86,0.526128569064824,0.671,0.538,3.52238974558843e-84,1,STAT6
4.82305960210404e-74,0.523574103404156,0.652,0.534,1.23470325813863e-71,1,BCL11B
5.25676065004265e-46,0.517819099934221,0.437,0.333,1.34573072641092e-43,1,ZAP70
2.8847780761777e-72,0.513024367278556,0.729,0.618,7.38503187501492e-70,1,CD69
5.25383209338687e-07,0.501762569513409,0.122,0.096,0.000134498101590704,1,FOSB
2.63957121535925e-12,0.499237738985828,0.132,0.097,6.75730231131969e-10,1,IL6R
4.36278491510785e-214,0.48883543825443,0.994,0.981,1.11687293826761e-211,1,BTG1
2.77523633807618e-23,0.482236200209903,0.398,0.332,7.10460502547501e-21,1,JUN
5.56602509083953e-42,0.457855238917678,0.506,0.4,1.42490242325492e-39,1,S1PR1
5.52477462301602e-25,0.452348352301379,0.3,0.226,1.4143423034921e-22,1,KLRB1
2.99828603018732e-66,0.45083891410155,0.731,0.64,7.67561223727953e-64,1,CD247
6.00574549356738e-41,0.448827494643898,0.5,0.396,1.53747084635325e-38,1,ICOS
1.69504588585955e-14,0.431036685997156,0.219,0.172,4.33931746780045e-12,1,FOXO1
4.00814886326466e-48,0.425354835139624,0.607,0.509,1.02608610899575e-45,1,JUNB
4.82167833588003e-09,0.411036116229501,0.117,0.088,1.23434965398529e-06,1,BCL6
6.50001904547417e-72,0.402242797425942,0.775,0.672,1.66400487564139e-69,1,ITK
1.48884389988532e-27,0.398484372645191,0.43,0.352,3.81144038370643e-25,1,CNOT2
2.58499960820458e-28,0.390331866835665,0.446,0.366,6.61759899700373e-26,1,STAT5A
3.18041176130942e-76,0.388626476552431,0.986,0.934,8.14185410895211e-74,1,TRBC2
0,3.23267356771995,0.549,0.093,0,2,PTGDR2
0,2.21558263064458,0.978,0.313,0,2,CD8B
8.81783381282874e-119,1.85838666289216,0.139,0.046,2.25736545608416e-116,2,ITGAX
0,1.78358741516259,0.989,0.384,0,2,CD8A
8.89316459178964e-129,1.64909831089014,0.147,0.048,2.27665013549815e-126,2,ZNF683
6.44452064449988e-135,1.42576532447445,0.21,0.083,1.64979728499197e-132,2,GATA3
5.09719026529884e-157,1.31428456437357,0.27,0.113,1.3048807079165e-154,2,IL9R
2.1226622645469e-110,1.26707404613947,0.214,0.094,5.43401539724006e-108,2,TSPAN32
2.09721888048016e-51,1.19421537779106,0.123,0.058,5.3688803340292e-49,2,LAT2
0,1.07738479113675,0.715,0.317,0,2,KLRK1
6.32500055012068e-252,0.880500294379541,0.645,0.345,1.6192001408309e-249,2,LAG3
0,0.852753868804346,0.803,0.476,0,2,CTSW
2.10806854842578e-108,0.773313082245293,0.361,0.2,5.39665548397e-106,2,CXCR6
8.22226892261476e-81,0.764490948697475,0.347,0.21,2.10490084418938e-78,2,NCR3
4.00205002451212e-29,0.7256141904867,0.105,0.057,1.0245248062751e-26,2,KLRC4
7.27706026853205e-232,0.708878095982178,0.775,0.494,1.86292742874421e-229,2,SELL
1.82877678408802e-44,0.625835408520154,0.262,0.168,4.68166856726532e-42,2,ENTPD1
7.17611386699251e-93,0.613030072000442,0.494,0.328,1.83708514995008e-90,2,FOXP3
0,0.580172043401489,0.877,0.539,0,2,NKG7
4.84523688393403e-49,0.532097387342609,0.414,0.299,1.24038064228711e-46,2,HAVCR2
3.6127249660289e-43,0.529447319446273,0.334,0.23,9.24857591303399e-41,2,TIGIT
0,0.519876555727482,0.998,0.949,0,2,CD52
2.37076733566338e-49,0.513063712570689,0.373,0.257,6.06916437929825e-47,2,CCR2
8.58312079417374e-12,0.461256108573023,0.102,0.071,2.19727892330848e-09,2,IKZF2
4.34986715109599e-14,0.44855286549515,0.123,0.085,1.11356599068057e-11,2,PECAM1
8.19804084303957e-54,0.439891655915728,0.47,0.338,2.09869845581813e-51,2,PASK
5.21663712445989e-42,0.420576689440014,0.586,0.465,1.33545910386173e-39,2,IL2RA
4.23370878793009e-95,0.331423136985591,0.833,0.681,1.0838294497101e-92,2,CCL5
6.02960170521985e-165,0.328357787275177,1,0.998,1.54357803653628e-162,2,IL32
1.41222217135612e-24,0.32593014143422,0.684,0.618,3.61528875867168e-22,2,TNFSF10
4.52129756494098e-72,0.283425255177463,0.934,0.795,1.15745217662489e-69,2,SPOCK2
1.25137578905691e-42,0.277451910789477,0.708,0.588,3.20352201998569e-40,2,CXCR3
3.23854043877235e-57,0.271579769202101,0.941,0.84,8.29066352325722e-55,2,LAT
5.80013206591176e-34,0.268463946345022,0.689,0.576,1.48483380887341e-31,2,GIMAP2
3.73527294534852e-164,1.89888240930907,0.145,0.04,9.56229874009222e-162,3,CXCR5
2.52912607181738e-152,1.42384991552756,0.389,0.213,6.4745627438525e-150,3,KLRB1
8.06607698244871e-138,1.18481344142621,0.268,0.121,2.06491570750687e-135,3,CD40LG
